"Yuan Fu","798 Rockville Pike","Rockville","MD","20852","VEGETARIAN"
"McDonalds","1390 Rockville Pike","Rockville","MD","20852","FAST"
"McDonalds","11564 Rockville Pike","Rockville","MD","20852","FAST"
"Joe's Noodle","1488 Rockville Pike","Rockville","MD","20852","ASIAN"
"Three Brother's","1596 Rockville Pike","Rockville","MD","20852","ITALIAN"
